day,demand_MWh
01/3/2017,10689997
01/2/2017,10000898
01/1/2017,9624858
12/31/2016,10391189
12/30/2016,10746454
12/29/2016,10498072
12/28/2016,10431524
12/27/2016,10155359
12/26/2016,9701049
12/25/2016,9317290
12/24/2016,9784714
12/23/2016,10638014
12/22/2016,11038073
12/21/2016,11563000
12/20/2016,12214818
12/19/2016,12663329
12/18/2016,11378227
12/17/2016,11134449
12/16/2016,12304471
12/15/2016,12232617
12/14/2016,11471713
12/13/2016,11210895
12/12/2016,10993281
12/11/2016,10810885
12/10/2016,11444653
12/9/2016,12019836
12/8/2016,11661797
12/7/2016,11085294
12/6/2016,10924678
12/5/2016,10790061
12/4/2016,10013730
12/3/2016,10110859
12/2/2016,10546568
12/1/2016,10436885
11/30/2016,10214666
11/29/2016,10177527
11/28/2016,10304709
11/27/2016,9567830
11/26/2016,9214630
11/25/2016,9048575
11/24/2016,9046045
11/23/2016,10236938
11/22/2016,10570409
11/21/2016,10578559
11/20/2016,9716921
11/19/2016,9362796
11/18/2016,9802788
11/17/2016,9896078
11/16/2016,9876963
11/15/2016,9885638
11/14/2016,9896195
11/13/2016,9163804
11/12/2016,9183386
11/11/2016,9622698
11/10/2016,9810516
11/9/2016,9793320
11/8/2016,9799530
11/7/2016,9697171
11/6/2016,8717281
11/5/2016,8564167
11/4/2016,9179030
11/3/2016,9462728
11/2/2016,9589548
11/1/2016,9557200
10/31/2016,9850214
10/30/2016,9203156
10/29/2016,9403982
10/28/2016,9958126
10/27/2016,10115968
10/26/2016,10027029
10/25/2016,9867136
10/24/2016,9716948
10/23/2016,8822620
10/22/2016,8959640
10/21/2016,9879063
10/20/2016,10425554
10/19/2016,10845062
10/18/2016,10872417
10/17/2016,10716473
10/16/2016,9608331
10/15/2016,9526940
10/14/2016,9929807
10/13/2016,10086591
10/12/2016,10116124
10/11/2016,9993101
10/10/2016,9710443
10/9/2016,8976288
10/8/2016,9419388
10/7/2016,10275004
10/6/2016,10679361
10/5/2016,10635375
10/4/2016,10456776
10/3/2016,10292488
10/2/2016,9390611
10/1/2016,9490040
09/30/2016,10191687
09/29/2016,10491557
09/28/2016,10720525
09/27/2016,10730239
09/26/2016,10797241
09/25/2016,10394386
09/24/2016,10883634
09/23/2016,11720385
09/22/2016,11900062
09/21/2016,12057248
09/20/2016,12213479
09/19/2016,12228731
09/18/2016,11134771
09/17/2016,10940088
09/16/2016,11499513
09/15/2016,11655199
09/14/2016,11898821
09/13/2016,11701109
09/12/2016,11524717
09/11/2016,11040029
09/10/2016,11860344
09/9/2016,12926101
09/8/2016,13073911
09/7/2016,12975165
09/6/2016,12508615
09/5/2016,11031722
09/4/2016,10454028
09/3/2016,10582029
09/2/2016,11541913
09/1/2016,12344269
08/31/2016,12896513
08/30/2016,12939917
08/29/2016,13030927
08/28/2016,12137387
08/27/2016,12189777
08/26/2016,13063736
08/25/2016,13092248
08/24/2016,12734528
08/23/2016,12398636
08/22/2016,12148736
08/21/2016,11578987
08/20/2016,12027018
08/19/2016,13009984
08/18/2016,13277995
08/17/2016,13414080
08/16/2016,13413175
08/15/2016,13281765
08/14/2016,12626638
08/13/2016,13161202
08/12/2016,14091352
08/11/2016,14262002
08/10/2016,13870454
08/9/2016,13363223
08/8/2016,12972815
08/7/2016,12177596
08/6/2016,12652310
08/5/2016,13327232
08/4/2016,13559647
